🕘️更新时间,#genre#
2026-05-28 16:08:27,rtmp://39.108.129.193:1935/cctv1/1sao$订阅源

📺央视频道,#genre#
CCTV-1,rtmp://39.108.129.193:1935/cctv1/1sao$订阅源
CCTV-1,http://69.30.245.50/live/cctv1.m3u8$订阅源
CCTV-1,http://69.30.245.50/live/cctv1.m3u8$订阅源
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8$订阅源
CCTV-1,http://198.204.240.250:82/live/cctv1.m3u8$订阅源
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=5$订阅源
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=5$订阅源
CCTV-1,https://iptv.catvod.com/live.php?id=CCTV1&line=8$订阅源
CCTV-2,http://69.30.245.50/live/cctv2.m3u8$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=2$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=3$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=4$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=5$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=6$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=7$订阅源
CCTV-2,https://iptv.catvod.com/live.php?id=CCTV2&line=8$订阅源
CCTV-3,http://69.30.245.50/live/cctv3.m3u8$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=1$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=2$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=3$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=4$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=5$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=6$订阅源
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3&line=7$订阅源
CCTV-4,http://69.30.245.50/live/cctv4.m3u8$订阅源
CCTV-4,http://198.204.240.250:82/live/cctv4k.m3u8$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=1$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=2$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=3$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=4$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=5$订阅源
CCTV-4,https://iptv.catvod.com/live.php?id=CCTV4&line=7$订阅源
CCTV-5,http://69.30.245.50/live/cctv5.m3u8$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5%2B$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=1$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=2$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=3$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=5$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=8$订阅源
CCTV-5,https://iptv.catvod.com/live.php?id=CCTV5&line=9$订阅源
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B$订阅源
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B&line=1$订阅源
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B&line=2$订阅源
CCTV-5+,https://iptv.catvod.com/live.php?id=CCTV5%2B&line=3$订阅源
CCTV-5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p$订阅源
CCTV-5+,http://107.150.60.122/live/cctv5p.m3u8$订阅源
CCTV-5+,http://38.75.136.137:98/gslb/dsdqbv/cctv5p.m3u8?auth=test20251009$订阅源
CCTV-5+,http://207.56.13.146:81/cdnlive/cctv5p.m3u8$订阅源
CCTV-6,http://69.30.245.50/live/cctv6.m3u8$订阅源
CCTV-6,http://198.204.240.250:82/live/cctv6.m3u8$订阅源
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=1$订阅源
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=2$订阅源
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=4$订阅源
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=5$订阅源
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=7$订阅源
CCTV-6,https://iptv.catvod.com/live.php?id=CCTV6&line=8$订阅源
CCTV-7,http://69.30.245.50/live/cctv7.m3u8$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=1$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=2$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=3$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=4$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=5$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=6$订阅源
CCTV-7,https://iptv.catvod.com/live.php?id=CCTV7&line=7$订阅源
CCTV-8,http://69.30.245.50/live/cctv8.m3u8$订阅源
CCTV-8,http://198.204.240.250:82/live/cctv8k.m3u8$订阅源
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=1$订阅源
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=2$订阅源
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=5$订阅源
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=6$订阅源
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=7$订阅源
CCTV-8,https://iptv.catvod.com/live.php?id=CCTV8&line=9$订阅源
CCTV-9,http://69.30.245.50/live/cctv9.m3u8$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=1$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=2$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=3$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=4$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=5$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=6$订阅源
CCTV-9,https://iptv.catvod.com/live.php?id=CCTV9&line=7$订阅源
CCTV-10,http://69.30.245.50/live/cctv10.m3u8$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=1$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=2$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=3$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=4$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=5$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=6$订阅源
CCTV-10,https://iptv.catvod.com/live.php?id=CCTV10&line=7$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=1$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=2$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=3$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=4$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=5$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=6$订阅源
CCTV-11,https://iptv.catvod.com/live.php?id=CCTV11&line=7$订阅源
CCTV-11,https://iptv.catvod.com/catvod?id=CCTV11&line=1$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=1$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=2$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=3$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=4$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=5$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=6$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=7$订阅源
CCTV-12,https://iptv.catvod.com/live.php?id=CCTV12&line=8$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=1$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=2$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=3$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=4$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=7$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=8$订阅源
CCTV-13,https://iptv.catvod.com/live.php?id=CCTV13&line=10$订阅源
